Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,2,CHEMBL5291815,0.3157894736842105,0.4646464646464647,0.10651716888577423,-0.2628571428571429,-0.29139072847682135,0.3270676691729323,0.19707708957708955,0.2857142857142857,0.3684210526315789,-0.307735338091128,2,7,12,5,14,37,51,7,19,26,0.23529411764705876,0.6654135338345865
CellCount,3,CHEMBL5291815,0.5,0.0,0.0,0.0,0.0,0.5,0.64,1.0,0.0,0.0,7,0,18,0,14,38,52,7,18,25,0.0,0.5
CellProfiler,1,CHEMBL5291815,0.3458646616541354,0.4444444444444445,0.1138996138996139,-0.28925619834710736,-0.13592233009708732,0.3684210526315789,0.1995551566228258,0.0,0.7368421052631579,-0.2961744388795462,0,14,5,7,14,37,51,7,19,26,0.0,0.5
CellProfiler,2,CHEMBL5291815,0.42857142857142855,0.3535353535353536,0.13837489943684644,0.006369426751592355,-0.13592233009708732,0.5037593984962406,0.24871299705653013,0.42857142857142855,0.5789473684210527,0.0067504419574645775,3,11,8,4,14,37,51,7,19,26,0.19587628865979378,0.5714285714285714
CellProfiler,3,CHEMBL5291815,0.3174603174603175,0.393939393939394,0.20869565217391306,-0.027397260273972712,0.0,0.48809523809523814,0.20007887212856157,0.14285714285714285,0.8333333333333334,-0.029160592175990215,1,15,3,6,14,38,52,7,18,25,0.0,0.5
CellCount,1,CHEMBL5291818,0.5,0.0,0.0,0.0,0.0,0.5,0.7068965517241379,1.0,0.0,0.0,12,0,17,0,24,32,56,12,17,29,0.0,0.5
CellCount,2,CHEMBL5291818,0.5,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,1.0,0.0,0.0,12,0,16,0,24,33,57,12,16,28,0.0,0.5
CellCount,3,CHEMBL5291818,0.5,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,1.0,0.0,0.0,12,0,16,0,24,33,57,12,16,28,0.0,0.5
CellProfiler,1,CHEMBL5291818,0.6519607843137255,0.5555555555555556,0.18784530386740317,0.2328042328042329,0.2892156862745098,0.6078431372549019,0.5941540424543409,0.3333333333333333,0.8823529411764706,0.26223946461245556,4,15,2,8,24,32,56,12,17,29,-0.16582914572864316,0.41911764705882354
CellProfiler,2,CHEMBL5291818,0.390625,0.33333333333333337,0.01340033500837512,0.05769230769230771,-0.2727272727272725,0.53125,0.34386793789290193,0.75,0.3125,0.06846531968814576,9,5,11,3,24,33,57,12,16,28,-0.042553191489361764,0.47916666666666663
CellProfiler,3,CHEMBL5291818,0.5989583333333334,0.42424242424242425,0.22103386809269165,0.019999999999999907,0.23913043478260865,0.5104166666666667,0.5257437716938491,0.5833333333333334,0.4375,0.020833333333333332,7,7,9,5,24,33,57,12,16,28,0.0,0.5
CellCount,1,CHEMBL5291822,0.36923076923076925,0.48484848484848486,0.18317757009345792,-0.21052631578947367,0.0944881889763779,0.39230769230769236,0.44136357590675124,0.4,0.38461538461538464,-0.21374668579336073,4,5,8,6,21,25,46,10,13,23,-0.08727272727272739,0.45384615384615384
CellCount,2,CHEMBL5291822,0.4230769230769231,0.5353535353535354,0.1312127236580517,-0.05857740585774063,-0.18382352941176472,0.47307692307692306,0.3770705428733932,0.1,0.8461538461538461,-0.07925939239012171,1,11,2,9,21,25,46,10,13,23,-0.18382352941176472,0.40384615384615385
CellCount,3,CHEMBL5291822,0.49242424242424243,0.4040404040404041,0.03361344537815125,0.0,-0.11152416356877337,0.5,0.4355640585217703,1.0,0.0,0.0,11,0,12,0,20,26,46,11,12,23,0.11538461538461542,0.5568181818181819
CellProfiler,1,CHEMBL5291822,0.6230769230769231,0.6161616161616162,0.15337423312883436,0.22033898305084743,0.3735408560311284,0.6,0.6766005263488101,0.2,1.0,0.35186577527449836,2,13,0,8,21,25,46,10,13,23,0.2755905511811023,0.6346153846153846
CellProfiler,2,CHEMBL5291822,0.5615384615384615,0.5555555555555556,0.31411530815109345,0.07258064516129037,0.0944881889763779,0.5346153846153846,0.45013287366228544,0.3,0.7692307692307693,0.07815751585783592,3,10,3,7,21,25,46,10,13,23,0.30827067669172936,0.6576923076923077
CellProfiler,3,CHEMBL5291822,0.4545454545454546,0.43434343434343436,0.18317757009345792,-0.21052631578947367,-0.14559386973180088,0.3939393939393939,0.5002110349726877,0.45454545454545453,0.3333333333333333,-0.21374668579336073,5,4,8,6,20,26,46,11,12,23,0.02316602316602312,0.5113636363636364
