,Task,Fold,AUC_ROC,AUC_PR,Test_Set_Length,Num_Actives,Num_Inactives
212,277_756,2.0,0.683126110124334,0.0224720411767642,2802.0,5.0,2797.0
213,278_757,2.0,0.5182847896440129,0.0433214710925855,2549.0,75.0,2472.0
214,279_758,2.0,0.4935408585891789,0.0084988675744036,2268.0,14.0,2258.0
215,27_38,2.0,0.5954545454545455,0.6945444905971221,19.0,10.0,9.0
216,27_39,2.0,0.6282051282051282,0.4415204678362573,19.0,4.0,12.0
217,27_40,2.0,0.4666666666666667,0.1111111111111111,13.0,0.0,13.0
218,280_759,2.0,0.6548920511802608,0.021435562573291,2540.0,28.0,2519.0
219,281_760,2.0,0.4840206185567011,0.0173654568210262,393.0,5.0,388.0
220,283_762,2.0,0.5517021276595745,0.1291870089389113,307.0,25.0,284.0
221,29_43,2.0,0.9230769230769232,0.5,11.0,0.0,11.0
222,37_69,2.0,0.9375,0.75,8.0,0.0,8.0
223,37_70,2.0,0.6875,0.3833333333333333,8.0,0.0,8.0
224,37_74,2.0,0.75,0.75,8.0,0.0,7.0
225,37_77,2.0,0.5,0.2,8.0,0.0,8.0
226,3_3,2.0,0.9083333333333333,0.5,10.0,0.0,10.0
227,40_95,2.0,0.7777777777777778,0.5,8.0,1.0,6.0
228,40_96,2.0,0.8263888888888888,0.41666666666666663,8.0,0.0,8.0
229,42_103,2.0,1.0,1.0,5.0,0.0,5.0
230,42_104,2.0,0.5,0.8333333333333333,5.0,0.0,5.0
231,44_106,2.0,0.4,0.1428571428571428,5.0,0.0,5.0
232,46_120,2.0,1.0,1.0,5.0,1.0,4.0
233,49_149,2.0,0.0,0.25,6.0,0.0,6.0
234,50_154,2.0,,,2.0,0.0,2.0
235,53_178,2.0,0.1875,0.12878787878787876,5.0,0.0,5.0
236,54_179,2.0,0.2222222222222222,0.125,5.0,0.0,5.0
237,54_182,2.0,0.5833333333333334,0.3666666666666667,3.0,0.0,3.0
238,5_5,2.0,0.625,0.2,18.0,1.0,17.0
239,6_7,2.0,1.0,1.0,7.0,0.0,7.0
240,70_211,2.0,0.3333333333333333,0.2,13.0,1.0,13.0
241,71_212,2.0,0.375,0.41666666666666663,5.0,1.0,5.0
242,71_213,2.0,0.6666666666666667,0.8333333333333333,5.0,2.0,5.0
243,76_230,2.0,0.3846153846153846,0.1111111111111111,11.0,0.0,11.0
244,78_237,2.0,0.5,0.5,6.0,0.0,6.0
245,7_10,2.0,0.7777777777777778,0.3333333333333333,5.0,0.0,5.0
246,7_11,2.0,0.6875,0.5,5.0,1.0,4.0
247,80_239,2.0,0.20833333333333334,0.16269841269841265,6.0,0.0,6.0
248,81_241,2.0,0.3333333333333333,0.0769230769230769,16.0,0.0,16.0
249,82_242,2.0,0.7828947368421053,0.5732323232323232,20.0,2.0,17.0
250,82_243,2.0,0.5714285714285714,0.5,8.0,1.0,7.0
251,83_244,2.0,0.9545454545454546,0.5,13.0,0.0,13.0
252,83_245,2.0,0.375,0.375,5.0,0.0,4.0
253,84_246,2.0,0.75,0.5,5.0,0.0,4.0
254,85_247,2.0,0.75,0.7986111111111112,11.0,4.0,6.0
255,85_248,2.0,0.9166666666666667,0.725,10.0,0.0,10.0
256,86_249,2.0,0.375,0.1714285714285714,5.0,1.0,5.0
257,86_250,2.0,0.0,0.1409090909090909,5.0,0.0,5.0
258,88_252,2.0,0.8,0.3333333333333333,22.0,0.0,22.0
259,88_254,2.0,0.7444444444444445,0.425,14.0,2.0,12.0
260,89_255,2.0,0.4,0.25,9.0,1.0,7.0
261,8_12,2.0,0.625,0.5,5.0,1.0,4.0
262,8_13,2.0,0.75,0.5,5.0,1.0,4.0
263,90_256,2.0,0.7027027027027027,0.0833333333333333,29.0,1.0,28.0
264,91_257,2.0,0.9047619047619048,0.9583333333333333,5.0,2.0,4.0
265,92_258,2.0,0.8095238095238095,0.9166666666666664,5.0,2.0,4.0
266,93_259,2.0,0.5625,0.3663964598997494,26.0,6.0,20.0
267,9_14,2.0,0.5,0.5,4.0,0.0,4.0
268,9_17,2.0,1.0,1.0,6.0,0.0,6.0
269,9_18,2.0,0.5,0.5,4.0,1.0,3.0
