assay,best_C,val_auc,test_auc,split,N_labels_test
164,1e-06,0.7,0.4692982456140351,split1,61
165,100.0,0.47856430707876374,0.6069302721088435,split1,154
166,10.0,0.3409090909090909,0.746031746031746,split1,23
167,1.0,0.76,0.7107438016528925,split1,33
168,1.0,0.7578268876611418,0.7981049562682216,split1,367
169,1.0,0.9166666666666667,0.5277777777777778,split1,27
170,1e-06,0.942857142857143,0.45833333333333337,split1,14
171,1.0,0.8114828209764918,0.8372870905587668,split1,548
172,1.0,0.8048128342245988,0.8946428571428572,split1,83
173,1e-06,0.9375,0.9285714285714286,split1,16
174,1e-06,0.75,0.8933333333333333,split1,25
175,1e-06,0.75,1.0,split1,5
176,1.0,0.6965174129353234,0.8034188034188035,split1,155
177,0.1,0.6428571428571428,0.7039473684210527,split1,80
178,0.001,0.6785714285714286,0.5422453703703705,split1,96
179,0.1,0.7619047619047619,0.3557692307692308,split1,73
180,1.0,0.846938775510204,0.7914285714285715,split1,125
181,1e-06,0.2,0.0,split1,3
182,1e-06,0.8285714285714285,0.8341404358353511,split1,167
183,10.0,0.9466666666666667,0.9120879120879121,split1,68
184,0.1,0.836239103362391,0.7962158808933002,split1,176
185,1.0,0.6666666666666666,0.631578947368421,split1,21
186,1e-06,0.8823529411764706,0.9089506172839505,split1,78
187,1e-06,0.3717277486910995,0.6515609264853978,split1,337
188,1e-06,1.0,0.3333333333333333,split1,7
189,1e-06,0.8611111111111112,0.72,split1,50
190,1e-06,0.5,0.8125,split1,8
192,10.0,0.764367816091954,0.9289017341040462,split1,351
193,1.0,0.4862637362637362,0.7491264849755416,split1,80
194,10.0,0.8166666666666667,0.6666666666666666,split1,46
196,1.0,0.8666666666666667,0.9111111111111111,split1,29
197,10.0,0.8,0.625,split1,24
198,1e-06,0.7811320754716982,0.6782407407407407,split1,222
199,1e-06,0.8809523809523809,0.8727272727272727,split1,36
200,1e-06,0.6666666666666666,0.6666666666666667,split1,5
201,0.1,0.86,0.6601731601731602,split1,95
202,1e-06,1.0,0.8160535117056856,split1,36
