assay,best_C,val_auc,test_auc,split
146,1e-06,1.0,1.0,split1
147,1.0,0.7285714285714285,0.7564102564102565,split1
148,1e-06,0.6666666666666666,0.7692307692307693,split1
149,10.0,0.5,0.75,split1
150,0.1,0.6375,0.45833333333333337,split1
152,1e-06,0.6666666666666667,0.6000000000000001,split1
153,1e-06,1.0,1.0,split1
154,1e-06,0.8826530612244898,0.7508503401360545,split1
155,0.01,0.5360576923076923,0.5760060314767694,split1
156,1e-06,0.5,0.6733333333333332,split1
157,1e-06,0.5877976190476191,0.5605087825560265,split1
158,0.01,0.5378151260504201,0.4365079365079365,split1
159,1e-06,0.4375,0.615690168818272,split1
160,1e-06,0.75,0.9555555555555556,split1
161,0.01,0.6158237090136731,0.6427065172270652,split1
162,0.01,0.5409836065573771,0.5799935358758888,split1
163,1e-06,0.5731364275668073,0.47631742646405406,split1
164,1e-06,0.7,0.4692982456140351,split1
165,0.1,0.4695912263210369,0.5999149659863945,split1
166,1.0,0.20454545454545453,0.5952380952380952,split1
167,0.01,0.7333333333333334,0.7148760330578513,split1
168,10.0,0.7394106813996316,0.7933673469387754,split1
169,1e-06,0.8611111111111112,0.3611111111111111,split1
170,1e-06,0.942857142857143,0.625,split1
171,1e-06,0.7044153104279687,0.7568709055876686,split1
172,1e-06,0.8128342245989304,0.8863095238095239,split1
173,1e-06,0.875,0.8571428571428572,split1
174,1e-06,0.6875,0.7399999999999999,split1
175,1e-06,0.75,0.75,split1
176,10.0,0.727363184079602,0.7953216374269005,split1
177,1e-06,0.5357142857142857,0.7335526315789473,split1
178,1e-06,0.6071428571428572,0.5243055555555556,split1
179,0.1,0.8333333333333334,0.36153846153846153,split1
180,0.1,0.846938775510204,0.7947619047619048,split1
181,1e-06,0.4,0.0,split1
182,0.1,0.8172757475083057,0.8322379799377377,split1
183,1.0,0.9000000000000001,0.8818681318681318,split1
184,0.01,0.8430884184308842,0.7946650124069479,split1
185,1e-06,0.6666666666666666,0.6578947368421053,split1
186,1e-06,0.8455882352941176,0.9104938271604939,split1
187,1.0,0.5253054101221639,0.6052366565961732,split1
189,0.1,0.8611111111111112,0.6625,split1
190,1e-06,0.5,0.8125,split1
192,1e-06,0.9195402298850575,0.9098265895953757,split1
193,1.0,0.6208791208791209,0.5918937805730259,split1
194,1e-06,0.75,0.627906976744186,split1
196,1e-06,0.8,0.8944444444444444,split1
197,0.1,0.8,0.7265625,split1
198,1.0,0.7132075471698114,0.5640432098765432,split1
199,1e-06,0.7142857142857143,0.8327272727272728,split1
200,1e-06,0.3333333333333333,0.8333333333333334,split1
201,1e-06,0.71,0.6158008658008658,split1
202,1e-06,1.0,0.8528428093645485,split1
203,10.0,0.650462962962963,0.6476244343891402,split1
204,1.0,0.7142857142857143,0.5527777777777778,split1
205,0.1,0.7590909090909091,0.8645690834473324,split1
208,1e-06,0.7857142857142857,0.7777777777777779,split1
209,1e-05,0.7975334018499487,0.7729628861704334,split1
1,1.0,0.3095238095238096,0.47619047619047616,split2
2,1e-06,0.5714285714285714,0.7473684210526316,split2
3,1.0,0.8125,0.6491228070175439,split2
4,1e-06,0.48,0.4769230769230769,split2
5,1.0,0.33333333333333337,0.4666666666666667,split2
6,1e-06,0.625,0.28888888888888886,split2
7,1e-06,0.75,0.6666666666666667,split2
8,1e-06,0.625,0.6875,split2
9,1e-06,0.65,0.6521739130434783,split2
10,1e-06,0.5,0.44999999999999996,split2
11,1.0,0.6086956521739131,0.7421875,split2
12,1.0,0.5639097744360902,0.46153846153846156,split2
13,1e-06,0.5555555555555556,0.7307692307692308,split2
14,10.0,0.5,0.56,split2
15,1e-06,0.6,0.14285714285714285,split2
16,1e-06,0.9166666666666667,0.4545454545454546,split2
17,1.0,0.46153846153846156,0.7,split2
18,1e-06,0.5,0.3828125,split2
19,1e-06,0.8333333333333334,0.5714285714285714,split2
20,1e-06,0.4444444444444444,0.47058823529411764,split2
21,1e-06,0.48,0.4769230769230769,split2
22,1e-06,0.16666666666666663,0.25,split2
23,0.01,0.26666666666666666,0.5714285714285714,split2
24,1.0,0.5892857142857143,0.4214285714285714,split2
25,1e-06,0.9444444444444444,0.8095238095238095,split2
26,0.1,0.8571428571428572,0.0,split2
27,1.0,0.6704545454545455,0.6777777777777778,split2
28,1e-06,0.8235294117647058,0.875,split2
29,1e-06,0.9444444444444444,0.7272727272727273,split2
30,1e-06,0.6,0.0,split2
31,1.0,0.6530172413793104,0.5967529618253621,split2
32,0.1,0.7223567393058918,0.7148325358851674,split2
33,1.0,0.7532051282051282,0.5516493055555556,split2
34,1.0,0.7497949138638228,0.703913248467704,split2
35,0.01,0.7532051282051282,0.6706316652994257,split2
36,1e-06,0.5833333333333333,0.7304347826086957,split2
37,1e-06,0.8333333333333333,0.6326530612244898,split2
40,1e-06,0.4375,0.15,split2
41,1e-06,0.6666666666666667,0.8416666666666668,split2
42,1e-06,0.8333333333333334,0.8798076923076923,split2
43,1e-06,0.8927536231884058,0.7599667774086379,split2
44,1e-06,0.8726708074534162,0.7860869565217391,split2
45,1e-06,1.0,0.22222222222222227,split2
46,1e-06,0.5,0.6785714285714286,split2
47,10.0,0.6500000000000001,0.6888888888888888,split2
48,1e-06,0.33333333333333337,0.4,split2
50,1e-06,0.33333333333333337,0.5555555555555556,split2
52,1e-06,0.7857142857142857,1.0,split2
53,10.0,0.8541666666666666,0.962962962962963,split2
54,1e-06,0.8333333333333333,0.9500000000000001,split2
55,1e-06,0.8125,0.9583333333333334,split2
56,1.0,0.8666666666666667,0.9583333333333334,split2
57,1e-06,0.7916666666666666,0.9583333333333334,split2
58,1e-06,0.7619047619047619,0.9848484848484849,split2
59,1e-06,0.8444444444444446,0.95,split2
60,1e-06,0.7708333333333333,0.9466666666666667,split2
61,0.01,0.8125,0.991304347826087,split2
62,1e-06,0.7708333333333333,0.9583333333333334,split2
63,1e-06,0.8125,0.9249999999999999,split2
64,1e-06,0.7857142857142857,0.9583333333333334,split2
65,1e-06,0.8,0.96,split2
66,1e-06,0.7708333333333333,0.94,split2
67,1e-06,0.8,0.962962962962963,split2
68,1e-06,0.8222222222222222,1.0,split2
69,1e-06,0.7916666666666666,0.94,split2
70,1e-06,0.8333333333333333,0.9500000000000001,split2
71,1e-06,0.8444444444444446,0.9500000000000001,split2
72,0.1,0.75,0.875,split2
73,1e-06,0.8444444444444446,0.9473684210526316,split2
74,1e-06,0.8125,0.9420289855072465,split2
75,1e-06,0.9444444444444444,0.8888888888888888,split2
76,1e-06,0.7916666666666666,0.94,split2
77,0.01,0.75,0.9642857142857143,split2
78,1e-06,0.7916666666666666,0.951923076923077,split2
79,0.01,0.8,0.96,split2
80,1e-06,0.75,0.888888888888889,split2
81,1e-06,0.8444444444444446,0.9583333333333334,split2
82,0.01,0.8,1.0,split2
83,0.1,0.7647058823529411,1.0,split2
84,1e-06,0.7916666666666666,0.982608695652174,split2
85,1e-06,0.7692307692307692,0.8823529411764706,split2
86,1e-06,0.7555555555555555,1.0,split2
87,1e-06,0.8125,0.951923076923077,split2
88,1e-06,0.7948717948717948,0.9545454545454546,split2
89,1e-05,0.8,0.7948717948717948,split2
90,1e-06,0.7708333333333333,0.9423076923076923,split2
91,1e-06,0.7916666666666666,0.9375,split2
92,1e-06,0.8444444444444446,0.9615384615384616,split2
93,1e-06,0.7857142857142857,0.9444444444444444,split2
94,1e-06,0.7777777777777778,0.9166666666666666,split2
95,1e-06,0.8222222222222222,0.9298245614035088,split2
96,1e-06,0.5,0.8181818181818181,split2
97,1e-06,0.5,0.8333333333333334,split2
98,1e-06,0.75,0.9615384615384616,split2
100,1e-06,0.8125,0.9500000000000001,split2
101,1e-06,0.7692307692307692,0.951923076923077,split2
102,1.0,0.8541666666666666,1.0,split2
103,1e-06,0.8222222222222222,0.986111111111111,split2
104,1e-06,0.8125,0.951923076923077,split2
105,1e-06,0.8125,0.9615384615384616,split2
106,1e-06,0.8,0.9444444444444444,split2
107,1e-06,0.8333333333333333,0.9479166666666666,split2
108,1e-06,0.8333333333333333,0.962962962962963,split2
109,1e-06,0.7142857142857143,0.95,split2
110,1e-06,1.0,0.8333333333333334,split2
111,1e-06,0.8333333333333333,0.9545454545454546,split2
112,1e-06,0.8125,0.9479166666666666,split2
113,1e-06,0.8333333333333333,0.9230769230769231,split2
114,1e-06,0.8055555555555555,0.9583333333333334,split2
115,1e-06,0.7916666666666666,0.9791666666666666,split2
117,1e-06,0.5,0.36363636363636365,split2
119,1e-06,1.0,0.46428571428571425,split2
121,1e-06,1.0,0.6666666666666667,split2
122,1e-06,1.0,0.6,split2
123,1e-06,1.0,0.0,split2
124,1.0,0.3333333333333333,0.375,split2
125,1e-06,1.0,1.0,split2
126,1e-06,1.0,0.7,split2
127,1e-06,0.5833333333333334,0.5,split2
128,1e-06,0.5,0.5,split2
129,1e-06,0.2,0.1875,split2
130,1e-06,0.6666666666666667,0.4,split2
131,1e-06,1.0,1.0,split2
133,1e-06,1.0,1.0,split2
134,1e-06,1.0,0.8333333333333334,split2
135,1e-06,0.75,0.9166666666666667,split2
136,1.0,0.5555555555555556,0.6666666666666667,split2
137,1e-06,0.875,1.0,split2
138,1e-06,0.6666666666666666,1.0,split2
139,1e-06,1.0,1.0,split2
140,1e-06,0.5555555555555556,0.5,split2
141,1e-06,0.3333333333333333,0.5,split2
142,1e-06,1.0,0.9074074074074074,split2
143,1e-06,0.888888888888889,1.0,split2
144,1e-06,0.875,0.4444444444444445,split2
145,1e-06,1.0,0.8333333333333334,split2
146,1e-06,0.75,0.888888888888889,split2
147,0.1,0.7873254564983889,0.6912504839334108,split2
148,1e-06,0.8333333333333334,0.9,split2
150,0.01,0.6111111111111112,0.546218487394958,split2
151,1e-06,0.8846153846153846,0.5833333333333333,split2
152,1e-06,0.9166666666666667,0.75,split2
153,1.0,0.888888888888889,0.6666666666666666,split2
154,1e-06,0.7125,0.7720797720797721,split2
155,0.1,0.616936936936937,0.5319815848760897,split2
156,1.0,0.5555555555555556,0.7000000000000001,split2
157,1e-06,0.6265664160401002,0.5947231170424911,split2
158,1e-06,0.45185185185185184,0.6496598639455782,split2
159,1e-06,0.605072463768116,0.5777777777777777,split2
160,1e-06,0.6666666666666666,0.925925925925926,split2
161,1e-06,0.5883174603174604,0.6245746563223085,split2
162,0.1,0.6896067415730337,0.5616367403314917,split2
163,10.0,0.5993159694817153,0.42088955522238886,split2
164,1e-06,0.5,0.2991452991452991,split2
165,1e-06,0.7012987012987013,0.5773955773955775,split2
166,1e-06,0.6944444444444445,0.21666666666666667,split2
167,1e-06,0.8484848484848484,0.8392857142857143,split2
168,1.0,0.6292947558770343,0.708871189233727,split2
169,1e-06,0.09090909090909091,0.6847826086956522,split2
170,1e-06,0.6666666666666666,0.8285714285714286,split2
171,1e-06,0.7083720597697861,0.7106320346320346,split2
172,0.01,0.8509615384615384,0.8585365853658536,split2
173,0.01,0.5,0.8888888888888888,split2
174,1e-06,0.6799999999999999,0.640625,split2
175,1e-06,0.33333333333333337,0.5142857142857142,split2
176,10.0,0.714975845410628,0.832046332046332,split2
177,1e-06,0.9705882352941176,0.8863636363636364,split2
178,1e-06,0.6020408163265306,0.6425806451612903,split2
179,1e-06,0.46153846153846145,0.6637426900584795,split2
180,10.0,0.79585326953748,0.9164823008849559,split2
181,1e-06,0.3333333333333333,0.25,split2
182,0.001,0.814967105263158,0.8747467305212747,split2
183,1.0,0.9673913043478262,0.884160756501182,split2
184,1.0,0.7541666666666667,0.7150197628458498,split2
185,0.1,0.5714285714285714,0.8076923076923077,split2
186,10.0,0.7562724014336917,0.7953846153846154,split2
187,1e-06,0.5794117647058823,0.7331378299120235,split2
189,0.1,0.6,0.7833333333333333,split2
191,1e-06,0.961864406779661,0.9474885844748859,split2
